glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G00227RN,unassigned,12,Man,a,D,p,NC,x,Manp
G00227RN,unassigned,13,GlcNAc,b,D,p,12,x,GlcpNAc
G00227RN,unassigned,15,Gal,b,D,p,13,4,Galp
G00227RN,unassigned,16,NeuNAc,a,D,p,15,3,NeupNAc
G00227RN,unassigned,18,GlcNAc,b,D,p,12,2,GlcpNAc
G00227RN,unassigned,6,Man,a,D,p,NC,x,Manp
G00227RN,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc
G00227RN,unassigned,9,Gal,b,D,p,7,4,Galp
G00227RN,unassigned,20,Gal,b,D,p,18,4,Galp
G00227RN,unassigned,10,NeuNAc,a,D,p,9,3,NeupNAc
G00227RN,unassigned,21,NeuNAc,a,D,p,20,3,NeupNAc
G00281HB,unassigned,11,Gal,x,D,p,10,x,Galp
G00281HB,unassigned,6,Man,a,D,p,NC,3|6,Manp
G00281HB,unassigned,7,Man,x,D,p,6,x,Manp
G00281HB,unassigned,8,Man,x,D,p,6,x,Manp
G00281HB,unassigned,9,Man,a,D,p,NC,3|6,Manp
G00281HB,unassigned,10,GlcNAc,x,D,p,9,x,GlcpNAc
G00463XD,unassigned,9,GlcNAc,b,D,p,N1,6,GlcpNAc
G00551JZ,unassigned,11,GlcNAc,x,D,p,10,x,GlcpNAc
G00551JZ,unassigned,12,Gal,x,D,p,11,x,Galp
G00551JZ,unassigned,14,GlcNAc,x,D,p,10,x,GlcpNAc
G00551JZ,unassigned,15,Gal,x,D,p,14,x,Galp
G00551JZ,unassigned,6,Man,a,D,p,NC,x,Manp
G00551JZ,unassigned,17,Fuc,x,L,p,NA,6,Fucp
G00551JZ,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G00551JZ,unassigned,8,Gal,x,D,p,7,x,Galp
G00551JZ,unassigned,10,Man,a,D,p,NC,x,Manp
G00582VL,unassigned,14,Man,a,D,p,N19,6,Manp
G00830CM,unassigned,16,NeuNAc,a,D,p,N10,x,NeupNAc
G00875VP,unassigned,13,GlcNAc,x,D,p,7,x,GlcpNAc
G00875VP,unassigned,14,Gal,x,D,p,13,x,Galp
G00875VP,unassigned,15,NeuNAc,x,D,p,14,x,NeupNAc
G00875VP,unassigned,6,Man,a,D,p,NC,3|6,Manp
G00875VP,unassigned,7,Man,a,D,p,NC,3|6,Manp
G00875VP,unassigned,8,GlcNAc,x,D,p,7,x,GlcpNAc
G00875VP,unassigned,9,Gal,x,D,p,8,x,Galp
G00875VP,unassigned,10,NeuNAc,x,D,p,9,x,NeupNAc
G01120GS,unassigned,11,GlcNAc,b,D,p,N4,x,GlcpNAc
G01120GS,unassigned,13,Gal,b,D,p,11,4,Galp
G01120GS,unassigned,14,GlcNAc,b,D,p,N4,x,GlcpNAc
G01120GS,unassigned,16,Gal,b,D,p,14,4,Galp
G01120GS,unassigned,17,Fuc,a,L,p,16,2,Fucp
G01120GS,unassigned,18,GalNAc,a,D,p,16,3,GalpNAc
G01367ZS,unassigned,12,Man,a,D,p,N4,x,Manp
G01600VV,unassigned,2,Fuc,x,L,p,NA,x,Fucp
G01600VV,unassigned,7,Man,a,D,p,NC,x,Manp
G01600VV,unassigned,8,Man,a,D,p,NC,x,Manp
G01600VV,unassigned,9,GlcNAc,b,D,p,8,2,GlcpNAc
G01659NO,unassigned,11,Man,a,D,p,NC,3|6,Manp
G01659NO,unassigned,12,GlcNAc,x,D,p,11,x,GlcpNAc
G01659NO,unassigned,14,GlcNAc,x,D,p,11,x,GlcpNAc
G01659NO,unassigned,6,Man,a,D,p,NC,3|6,Manp
G01659NO,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G01659NO,unassigned,9,GlcNAc,x,D,p,6,x,GlcpNAc
G01769FS,unassigned,12,Man,a,D,p,NC,x,Manp
G01769FS,unassigned,13,GlcNAc,b,D,p,12,2,GlcpNAc
G01769FS,unassigned,15,Gal-6S,b,D,p,13,4,Galp
G01769FS,unassigned,16,NeuNAc,a,D,p,15,3,NeupNAc
G01769FS,unassigned,6,Man,a,D,p,NC,x,Manp
G01769FS,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc
G01769FS,unassigned,9,Gal,b,D,p,7,4,Galp
G01769FS,unassigned,10,NeuNAc,a,D,p,9,x,NeupNAc
G01954BU,unassigned,18,NeuNAc,a,D,p,N6,x,NeupNAc
G01954BU,unassigned,10,NeuNAc,a,D,p,N3,x,NeupNAc
G02000AU,unassigned,11,GlcNAc,b,D,p,6,6,GlcpNAc
G02000AU,unassigned,13,Man,a,D,p,NC,3|6,Manp
G02000AU,unassigned,14,GlcNAc,b,D,p,13,2,GlcpNAc
G02000AU,unassigned,16,GlcNAc,b,D,p,13,6,GlcpNAc
G02000AU,unassigned,6,Man,a,D,p,NC,3|6,Manp
G02000AU,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc
G02000AU,unassigned,9,GlcNAc,b,D,p,6,4,GlcpNAc
